Order code,Quantity,Description,Link
885012007063,10,WCAP-CSGP MLCCs 50 V(DC) 1nF 0805,https://www.we-online.com/en/components/products/WCAP-CSGP-50VDC#885012007063
885012207092,10,WCAP-CSGP MLCCs 50 V(DC) 10nF 0805,https://www.we-online.com/en/components/products/WCAP-CSGP-50VDC#885012207092
885012207098,12,WCAP-CSGP MLCCs 50 V(DC) 0.1uF 0805,https://www.we-online.com/en/components/products/WCAP-CSGP-50VDC?sq=885012207098#885012207098
885012207103,10,WCAP-CSGP MLCCs 50 V(DC) 1uF 0805,https://www.we-online.com/en/components/products/WCAP-CSGP-50VDC#885012207103
885012107018,1,WCAP-CSGP MLCCs 50 V(DC) 4.7uF 0805,https://www.we-online.com/en/components/products/WCAP-CSGP-25VDC#885012107018
885012209073,10,WCAP-CSGP MLCCs 50 V(DC) 10uF 1210,https://www.we-online.com/en/components/products/WCAP-CSGP-50VDC#885012209073
865080657018,10,WCAP-ASLI Aluminum Electrolytic Capacitors 220uF,https://www.we-online.com/en/components/products/WCAP-ASLI#865080657018
865060663013,5,WCAP-ASLI Aluminum Electrolytic Capacitors 470uF,https://www.we-online.com/en/components/products/WCAP-ASLL#865060663013
61301621821,1,Socket Header Dual 16 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821#61301621821
61303021821,1,Socket Header Dual 30 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821#61303021821
61302021821,1,Socket Header Dual 20 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821#61302021821
61303421821,1,Socket Header Dual 32 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821#61303421821
61307221821,2,Socket Header Dual 72 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_DUAL_SOCKET_HEADER_6130XX21821?sq=61307221821#61307221821
61307221121,2,Pin Header Dual 72 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_THT_DUAL_PIN_HEADER_6130XX21121#61307221121
61304011121,1,Pin Header Single 40 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_THT_PIN_HEADER_6130XX11121#61304011121
61300211821,2,Socket Header Single 2 Pins 2.54 mm,https://www.we-online.com/en/components/products/PHD_2_54_SOCKET_HEADER_6130XX11821#61300211821
560112120001,4,Resistor 10Ohm 0805,https://www.we-online.com/en/components/products/WRIS-RSKS?sq=560112120001#560112120001
560112120013,1,Resistor 100kOhm 0805,https://www.we-online.com/en/components/products/WRIS-RSKS#560112120013
