Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type
"@HOLE0, @HOLE1, @HOLE2",3,,,,,,tht
"C1, C11, C14, C16, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C34, C36, C4, C5, C50, C52, C54, C6, C7, C8",29,100n,C0603,,,,tht
"C10, C15, C17, C18, C32, C57, C58, C9",8,10u,C0603,,,,tht
"C12, C13",2,3p,C0603,,,,tht
"C33, C44",2,0p5,C0402,,,,tht
"C35, C37, C51, C53, C55, C59, C60, C61, C62",9,1n,C0603,,,,tht
C38,1,100p,C0402,,,,tht
"C39, C47",2,47p,C0402,,,,tht
"C40, C43, C48",3,NA,C0402,,,,tht
"C41, C42",2,1p2,C0402,,,,tht
C45,1,1u,C0603,,,,tht
"C46, C56",2,10n,C0603,,,,tht
C49,1,0p7,C0402,,,,tht
ETH0,1,SI-60062-F,RJ45-LED,,,,tht
IC1,1,74LVC1G125DBV,SOT23-5,,,,tht
IC10,1,LP5907MFX-3.3,SOT23-5L,,,,tht
IC2,1,FT2232ST,LQFP48-ST,,,,tht
IC3,1,SC189-3.3,SOT23-5,,,,tht
IC4,1,93C76B,SOT23-6,,,,tht
IC5,1,STM32F767VIT6,LQFP100-ST,,,,tht
IC6,1,CP11009,CP11009-THX,,,,tht
IC7,1,DP83848CVV,LQFP48,,,,tht
IC8,1,SKY66112,SMCM-22,,,,tht
IC9,1,SX1280,QFN24L,,,,tht
"L1, L3, L4, L5",4,120R,0603,,,,tht
L2,1,2u2,IHLP1616,,,,tht
LED1,1,rd,CHIP-LED0603,,,,tht
"LED2, LED3, PWR0, UNK100MBIT0",4,gr,CHIP-LED0603,,,,tht
Q1,1,CSTCR6M00G55-R0,CSTCR6M,,,,tht
Q2,1,ABS07W-32.768KHZ,CRYSTAL-07W,,,,tht
Q3,1,25MHz,7X,,,,tht
Q4,1,FL520WFMT1,CRYSTAL-7M,,,,tht
"R1, R10, R11, R12, R13, R22, R6, R7, R9",9,1k,R0603,,,,tht
"R14, R4",2,1k5,R0603,,,,tht
"R15, R16",2,2k2,R0603,,,,tht
"R17, R8",2,4k87,R0603,,,,tht
"R18, R21",2,3n,R0402,,,,tht
"R19, R20",2,2n4,R0402,,,,tht
"R2, R3",2,33,R0603,,,,tht
R5,1,1M,R0603,,,,tht
RESET1,1,BUTTON4,BUTTON4,,,,tht
RN1,1,10k,EXB28V,,,,tht
"RN10, RN11, RN12, RN2, RN3, RN4, RN5, RN6, RN8, RN9",10,100,EXB28V,,,,tht
RN7,1,N/A,EXB28V,,,,tht
U$1,1,BMI-S-204-F,SHIELD-32MM,,,,tht
USB1,1,USB-BU,USB-BMICRO,,,,tht
X1,1,3034TR ,CR2025,,,,tht
"X2, X3",2,,ANT-SMA-RA,,,,tht
